v-sweep,v-sweep_1,Vin,Iout,Vout,Vref
0.109,0.109,0.109,-9.11379E-07,0.9,0.9
0.11,0.11,0.11,-9.11379E-07,0.9,0.9
0.111,0.111,0.111,-9.11379E-07,0.9,0.9
0.112,0.112,0.112,-9.11379E-07,0.9,0.9
0.113,0.113,0.113,-9.11379E-07,0.9,0.9
0.114,0.114,0.114,-9.11379E-07,0.9,0.9
0.115,0.115,0.115,-9.11379E-07,0.9,0.9
0.116,0.116,0.116,-9.11379E-07,0.9,0.9
0.117,0.117,0.117,-9.11379E-07,0.9,0.9
0.118,0.118,0.118,-9.11379E-07,0.9,0.9
0.119,0.119,0.119,-9.11379E-07,0.9,0.9
0.12,0.12,0.12,-9.11379E-07,0.9,0.9
0.121,0.121,0.121,-9.11379E-07,0.9,0.9
0.122,0.122,0.122,-9.11379E-07,0.9,0.9
0.123,0.123,0.123,-9.11379E-07,0.9,0.9
0.124,0.124,0.124,-9.11379E-07,0.9,0.9
0.125,0.125,0.125,-9.11379E-07,0.9,0.9
0.126,0.126,0.126,-9.11379E-07,0.9,0.9
0.127,0.127,0.127,-9.11379E-07,0.9,0.9
0.128,0.128,0.128,-9.11379E-07,0.9,0.9
0.129,0.129,0.129,-9.11379E-07,0.9,0.9
0.13,0.13,0.13,-9.11379E-07,0.9,0.9
0.131,0.131,0.131,-9.11379E-07,0.9,0.9
0.132,0.132,0.132,-9.11379E-07,0.9,0.9
0.133,0.133,0.133,-9.11379E-07,0.9,0.9
0.134,0.134,0.134,-9.11379E-07,0.9,0.9
0.135,0.135,0.135,-9.11379E-07,0.9,0.9
0.136,0.136,0.136,-9.11379E-07,0.9,0.9
0.137,0.137,0.137,-9.11379E-07,0.9,0.9
0.138,0.138,0.138,-9.11379E-07,0.9,0.9
0.139,0.139,0.139,-9.11379E-07,0.9,0.9
0.14,0.14,0.14,-9.11379E-07,0.9,0.9
0.141,0.141,0.141,-9.11379E-07,0.9,0.9
0.142,0.142,0.142,-9.11379E-07,0.9,0.9
0.143,0.143,0.143,-9.11379E-07,0.9,0.9
0.144,0.144,0.144,-9.11379E-07,0.9,0.9
0.145,0.145,0.145,-9.11379E-07,0.9,0.9
0.146,0.146,0.146,-9.11379E-07,0.9,0.9
0.147,0.147,0.147,-9.11379E-07,0.9,0.9
0.148,0.148,0.148,-9.11379E-07,0.9,0.9
