Frequency (Hz),Magnitude (dB),Phase (deg)
223872114,-0.010093818,-0.00138623
251188643,-0.010310861,-0.001305327
281838293,-0.010491037,-0.001214628
316227766,-0.010639268,-0.001119819
354813389,-0.010760347,-0.001024943
398107171,-0.010858686,-0.000932746
446683592,-0.010938192,-0.000844988
501187234,-0.01100224,-0.000762705
562341325,-0.011053687,-0.000686412
630957344,-0.011094917,-0.000616266
707945784,-0.0111279,-0.000552178
794328235,-0.011154245,-0.000493905
891250938,-0.011175266,-0.000441107
1000000000,-0.011192022,-0.000393395
