Vin,Vout,Vref
0.199,0.003936266,0.7
0.2,0.003936268,0.7
0.201,0.003936269,0.7
0.202,0.00393627,0.7
0.203,0.003936272,0.7
0.204,0.003936274,0.7
0.205,0.003936275,0.7
0.206,0.003936276,0.7
0.207,0.003936279,0.7
0.208,0.00393628,0.7
0.209,0.003936282,0.7
0.21,0.003936283,0.7
0.211,0.003936285,0.7
0.212,0.003936286,0.7
0.213,0.00393629,0.7
0.214,0.00393629,0.7
0.215,0.003936292,0.7
0.216,0.003936294,0.7
0.217,0.003936296,0.7
0.218,0.003936298,0.7
0.219,0.0039363,0.7
0.22,0.003936303,0.7
0.221,0.003936306,0.7
0.222,0.003936307,0.7
0.223,0.00393631,0.7
0.224,0.003936313,0.7
0.225,0.003936317,0.7
0.226,0.003936319,0.7
0.227,0.003936321,0.7
0.228,0.003936324,0.7
0.229,0.003936326,0.7
0.23,0.003936329,0.7
0.231,0.003936332,0.7
0.232,0.003936336,0.7
0.233,0.003936339,0.7
0.234,0.003936341,0.7
0.235,0.003936346,0.7
0.236,0.00393635,0.7
0.237,0.003936352,0.7
0.238,0.003936356,0.7
0.239,0.00393636,0.7
0.24,0.003936363,0.7
0.241,0.003936367,0.7
0.242,0.003936371,0.7
0.243,0.003936377,0.7
0.244,0.00393638,0.7
0.245,0.003936385,0.7
0.246,0.003936389,0.7
0.247,0.003936394,0.7
0.248,0.003936399,0.7
0.249,0.003936405,0.7
0.25,0.00393641,0.7
0.251,0.003936415,0.7
0.252,0.00393642,0.7
0.253,0.003936426,0.7
0.254,0.003936431,0.7
0.255,0.003936438,0.7
0.256,0.003936443,0.7
0.257,0.00393645,0.7
0.258,0.003936456,0.7
0.259,0.003936462,0.7
0.26,0.003936469,0.7
0.261,0.003936477,0.7
0.262,0.003936483,0.7
0.263,0.003936491,0.7
0.264,0.003936498,0.7
0.265,0.003936505,0.7
0.266,0.003936514,0.7
0.267,0.003936521,0.7
0.268,0.003936531,0.7
0.269,0.003936538,0.7
0.27,0.003936548,0.7
0.271,0.003936557,0.7
0.272,0.003936565,0.7
0.273,0.003936576,0.7
0.274,0.003936585,0.7
0.275,0.003936596,0.7
0.276,0.003936605,0.7
0.277,0.003936617,0.7
0.278,0.003936628,0.7
0.279,0.00393664,0.7
0.28,0.003936651,0.7
0.281,0.003936662,0.7
0.282,0.003936675,0.7
0.283,0.003936688,0.7
0.284,0.003936701,0.7
0.285,0.003936715,0.7
0.286,0.003936728,0.7
0.287,0.003936743,0.7
0.288,0.003936757,0.7
0.289,0.003936772,0.7
0.29,0.003936788,0.7
0.291,0.003936805,0.7
0.292,0.003936821,0.7
0.293,0.003936837,0.7
0.294,0.003936854,0.7
0.295,0.003936872,0.7
0.296,0.00393689,0.7
0.297,0.003936908,0.7
0.298,0.003936927,0.7
0.299,0.003936947,0.7
0.3,0.003936967,0.7
0.301,0.003936989,0.7
0.302,0.00393701,0.7
0.303,0.003937031,0.7
0.304,0.003937055,0.7
0.305,0.003937078,0.7
0.306,0.003937101,0.7
0.307,0.003937127,0.7
0.308,0.003937152,0.7
0.309,0.003937177,0.7
0.31,0.003937204,0.7
0.311,0.003937232,0.7
0.312,0.00393726,0.7
0.313,0.00393729,0.7
0.314,0.003937319,0.7
0.315,0.003937351,0.7
0.316,0.003937381,0.7
0.317,0.003937413,0.7
0.318,0.003937446,0.7
0.319,0.003937481,0.7
0.32,0.003937517,0.7
0.321,0.003937553,0.7
0.322,0.00393759,0.7
0.323,0.003937628,0.7
0.324,0.003937667,0.7
0.325,0.003937707,0.7
0.326,0.003937749,0.7
0.327,0.003937791,0.7
0.328,0.003937835,0.7
0.329,0.003937882,0.7
0.33,0.003937926,0.7
0.331,0.003937975,0.7
0.332,0.003938024,0.7
0.333,0.003938075,0.7
0.334,0.003938126,0.7
0.335,0.003938178,0.7
0.336,0.003938233,0.7
0.337,0.003938289,0.7
0.338,0.003938348,0.7
0.339,0.003938407,0.7
0.34,0.003938467,0.7
0.341,0.00393853,0.7
0.342,0.003938595,0.7
0.343,0.003938661,0.7
0.344,0.003938728,0.7
0.345,0.003938798,0.7
0.346,0.003938871,0.7
0.347,0.003938945,0.7
0.348,0.003939021,0.7
0.349,0.003939098,0.7
0.35,0.003939178,0.7
0.351,0.003939261,0.7
0.352,0.003939346,0.7
0.353,0.003939433,0.7
0.354,0.003939523,0.7
0.355,0.003939616,0.7
0.356,0.00393971,0.7
0.357,0.003939807,0.7
0.358,0.003939907,0.7
0.359,0.003940011,0.7
0.36,0.003940116,0.7
0.361,0.003940225,0.7
0.362,0.003940336,0.7
0.363,0.00394045,0.7
0.364,0.00394057,0.7
0.365,0.00394069,0.7
0.366,0.003940815,0.7
0.367,0.003940943,0.7
0.368,0.003941074,0.7
0.369,0.00394121,0.7
0.37,0.003941348,0.7
0.371,0.003941491,0.7
0.372,0.003941639,0.7
0.373,0.00394179,0.7
0.374,0.003941945,0.7
0.375,0.003942104,0.7
0.376,0.003942269,0.7
0.377,0.003942437,0.7
0.378,0.003942611,0.7
0.379,0.003942788,0.7
0.38,0.003942972,0.7
0.381,0.00394316,0.7
0.382,0.003943354,0.7
0.383,0.003943552,0.7
0.384,0.003943756,0.7
0.385,0.003943967,0.7
0.386,0.003944183,0.7
0.387,0.003944404,0.7
0.388,0.003944633,0.7
0.389,0.003944866,0.7
0.39,0.003945107,0.7
0.391,0.003945355,0.7
0.392,0.003945608,0.7
0.393,0.003945871,0.7
0.394,0.00394614,0.7
0.395,0.003946417,0.7
0.396,0.003946699,0.7
0.397,0.003946992,0.7
0.398,0.003947292,0.7
0.399,0.0039476,0.7
0.4,0.003947916,0.7
0.401,0.003948242,0.7
0.402,0.003948577,0.7
0.403,0.003948921,0.7
0.404,0.003949276,0.7
0.405,0.003949638,0.7
0.406,0.003950012,0.7
0.407,0.003950395,0.7
0.408,0.003950791,0.7
0.409,0.003951196,0.7
0.41,0.003951612,0.7
0.411,0.003952041,0.7
0.412,0.003952482,0.7
0.413,0.003952934,0.7
0.414,0.003953398,0.7
0.415,0.003953878,0.7
0.416,0.003954369,0.7
0.417,0.003954874,0.7
0.418,0.003955393,0.7
0.419,0.003955926,0.7
0.42,0.003956474,0.7
0.421,0.003957038,0.7
0.422,0.003957617,0.7
0.423,0.003958212,0.7
0.424,0.003958824,0.7
0.425,0.003959451,0.7
0.426,0.003960098,0.7
0.427,0.003960762,0.7
0.428,0.003961445,0.7
0.429,0.003962146,0.7
0.43,0.003962867,0.7
0.431,0.003963607,0.7
0.432,0.003964369,0.7
0.433,0.00396515,0.7
0.434,0.003965955,0.7
0.435,0.003966781,0.7
0.436,0.003967631,0.7
0.437,0.003968503,0.7
0.438,0.003969401,0.7
0.439,0.003970322,0.7
0.44,0.003971269,0.7
0.441,0.003972243,0.7
0.442,0.003973244,0.7
0.443,0.003974272,0.7
0.444,0.003975328,0.7
0.445,0.003976416,0.7
0.446,0.003977531,0.7
0.447,0.003978678,0.7
0.448,0.003979858,0.7
0.449,0.003981068,0.7
0.45,0.003982313,0.7
0.451,0.003983592,0.7
0.452,0.003984908,0.7
0.453,0.00398626,0.7
0.454,0.003987647,0.7
0.455,0.003989075,0.7
0.456,0.003990539,0.7
0.457,0.003992047,0.7
0.458,0.003993596,0.7
0.459,0.003995188,0.7
0.46,0.003996823,0.7
0.461,0.003998503,0.7
0.462,0.00400023,0.7
0.463,0.004002006,0.7
0.464,0.004003829,0.7
0.465,0.004005702,0.7
0.466,0.004007629,0.7
0.467,0.004009608,0.7
0.468,0.004011642,0.7
0.469,0.00401373,0.7
0.47,0.004015879,0.7
0.471,0.004018086,0.7
0.472,0.004020353,0.7
0.473,0.004022684,0.7
0.474,0.004025078,0.7
0.475,0.004027538,0.7
0.476,0.004030067,0.7
0.477,0.004032664,0.7
0.478,0.004035334,0.7
0.479,0.004038077,0.7
