 frequency       v(Vout)         v(Vout)        
 1.99526231e+05 -9.60522098e-01  1.97500346e-01 
 2.23872114e+05 -9.50881402e-01  2.19463307e-01 
 2.51188643e+05 -9.39005103e-01  2.43289864e-01 
 2.81838293e+05 -9.24451914e-01  2.68916929e-01 
 3.16227766e+05 -9.06733541e-01  2.96185253e-01 
 3.54813389e+05 -8.85330822e-01  3.24810670e-01 
 3.98107171e+05 -8.59722232e-01  3.54355064e-01 
 4.46683592e+05 -8.29427490e-01  3.84202021e-01 
 5.01187234e+05 -7.94067140e-01  4.13544525e-01 
 5.62341325e+05 -7.53435359e-01  4.41393942e-01 
 6.30957344e+05 -7.07577867e-01  4.66619542e-01 
 7.07945784e+05 -6.56860591e-01  4.88024436e-01 
 7.94328235e+05 -6.02010146e-01  5.04456112e-01 
 8.91250938e+05 -5.44107341e-01  5.14938630e-01 
 1.00000000e+06 -4.84522474e-01  5.18802462e-01 
 1.12201845e+06 -4.24795597e-01  5.15782329e-01 
 1.25892541e+06 -3.66481767e-01  5.06057612e-01 
 1.41253754e+06 -3.10993122e-01  4.90224161e-01 
 1.58489319e+06 -2.59470802e-01  4.69205309e-01 
 1.77827941e+06 -2.12709447e-01  4.44125590e-01 
 1.99526231e+06 -1.71140579e-01  4.16176846e-01 
 2.23872114e+06 -1.34865843e-01  3.86502321e-01 
 2.51188643e+06 -1.03722103e-01  3.56113900e-01 
 2.81838293e+06 -7.73590402e-02  3.25846124e-01 
 3.16227766e+06 -5.53138607e-02  2.96342219e-01 
 3.54813389e+06 -3.70738599e-02  2.68063212e-01 
 3.98107171e+06 -2.21232365e-02  2.41310710e-01 
 4.46683592e+06 -9.97451659e-03  2.16255601e-01 
 5.01187234e+06 -1.87084312e-04  1.92967278e-01 
 5.62341325e+06  7.62399202e-03  1.71440267e-01 
 6.30957344e+06  1.37857973e-02  1.51616838e-01 
 7.07945784e+06  1.85695781e-02  1.33405258e-01 
 7.94328235e+06  2.21950687e-02  1.16694011e-01 
 8.91250938e+06  2.48358212e-02  1.01362523e-01 
 1.00000000e+07  2.66245986e-02  8.72890181e-02 
 1.12201845e+07  2.76580183e-02  7.43561885e-02 
 1.25892541e+07  2.79995699e-02  6.24556125e-02 
 1.41253754e+07  2.76801951e-02  5.14928450e-02 
 1.58489319e+07  2.66969484e-02  4.13968126e-02 
 1.77827941e+07  2.50146276e-02  3.21380250e-02 
 1.99526231e+07  2.25818903e-02  2.37552710e-02 
 2.23872114e+07  1.93739272e-02  1.63769350e-02 
 2.51188643e+07  1.54584282e-02  1.02106325e-02 
 2.81838293e+07  1.10569177e-02  5.48048226e-03 
 3.16227766e+07  6.55805158e-03  2.31661034e-03 
 3.54813389e+07  2.44369731e-03  6.38414702e-04 
 3.98107171e+07 -8.70551584e-04  1.09851585e-04 
 4.46683592e+07 -3.19822632e-03  2.30338289e-04 
 5.01187234e+07 -4.62903395e-03  5.21680092e-04 
 5.62341325e+07 -5.43035457e-03  6.79700905e-04 
 6.30957344e+07 -5.89599650e-03  6.03349873e-04 
 7.07945784e+07 -6.24519873e-03  3.29319256e-04 
 7.94328235e+07 -6.59787835e-03 -5.19679848e-05 
 8.91250938e+07 -6.99602991e-03 -4.52976798e-04 
 1.00000000e+08 -7.43654995e-03 -8.12645676e-04 
 1.12201845e+08 -7.89758738e-03 -1.09882925e-03 
 1.25892541e+08 -8.35441605e-03 -1.30175222e-03 
 1.41253754e+08 -8.78687904e-03 -1.42574811e-03 
 1.58489319e+08 -9.18163045e-03 -1.48238785e-03 
 1.77827941e+08 -9.53174479e-03 -1.48576112e-03 
 1.99526231e+08 -9.83530387e-03 -1.44967256e-03 
 2.23872114e+08 -1.00938180e-02 -1.38623036e-03 
 2.51188643e+08 -1.03108610e-02 -1.30532658e-03 
 2.81838293e+08 -1.04910368e-02 -1.21462792e-03 
 3.16227766e+08 -1.06392679e-02 -1.11981937e-03 
 3.54813389e+08 -1.07603474e-02 -1.02494326e-03 
 3.98107171e+08 -1.08586857e-02 -9.32745712e-04 
 4.46683592e+08 -1.09381917e-02 -8.44987705e-04 
 5.01187234e+08 -1.10022398e-02 -7.62704614e-04 
 5.62341325e+08 -1.10536868e-02 -6.86412469e-04 
 6.30957344e+08 -1.10949172e-02 -6.16266303e-04 
 7.07945784e+08 -1.11278995e-02 -5.52178442e-04 
 7.94328235e+08 -1.11542454e-02 -4.93904889e-04 
 8.91250938e+08 -1.11752659e-02 -4.41107116e-04 
 1.00000000e+09 -1.11920218e-02 -3.93395367e-04 
