Frequency (Hz),Magnitude (dB),Phase (deg)
158489319,-51.3917547,-364.961604
177827941,-51.3139375,-362.961916
199526231,-51.1812506,-361.391706
223872114,-51.027637,-360.248031
251188643,-50.8745256,-359.464849
281838293,-50.7334276,-358.96092
316227766,-50.6093183,-358.661848
354813389,-50.5033431,-358.507285
398107171,-50.4146254,-358.451294
446683592,-50.3413625,-358.460209
501187234,-50.281445,-358.509977
562341325,-50.2327842,-358.583738
630957344,-50.1934688,-358.669873
707945784,-50.1618261,-358.760515
794328235,-50.1364325,-358.850443
891250938,-50.1160985,-358.936277
1000000000,-50.099843,-359.015911
